from,to,comment
"ERP Post-OP_Peri-operatives Flüssifkeitsmanagement beachtet","ERP Post-OP_Peri-operatives Flüssigkeitsmanagement beachtet","Typo fix: Flüssifkeitsmanagement -> Flüssigkeitsmanagement"
"ERP Post-OP_Harnableitung (Katheter am 1. postoperativen Tag entfernt)","ERP Post-OP_Harnableitung (Katheter am 1. postoperativen Tag oder früher entfernt)","Wording revision: added 'oder frueher'"
